stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021014035477000,Ranstadsverket,58.313051,13.709136,1,,
9021014035478000,Stommens vägskäl,58.330380,13.785539,1,,
9021014035496000,Berguvsvägen,58.364278,13.818921,1,,
9021014035497000,Orrvägen,58.366347,13.819245,1,,
9021014035498000,Bruntorp,58.347410,14.112507,1,,
9021014035500000,Astervägen,58.413553,13.870524,1,,
9021014035501000,Krokebro,58.446442,13.941617,1,,
9021014035510000,Skolgatan,58.525417,13.760380,1,,
9021014035511000,Lerdala Sjövägen,58.474696,13.706026,1,,
9021014035512000,Högsböla,58.503963,13.777731,1,,
9021014035513000,Källbacka,58.482056,13.744396,1,,
9021014035514000,Lerbäck,58.480059,13.730336,1,,
9021014035517000,Belleforsvägen,58.568721,14.010001,1,,
9021014035520000,Daltorp,58.437757,13.985042,1,,
9021014035521000,Korsbacken,58.411812,13.977590,1,,
9021014035522000,Horsås rondellen,58.421261,13.889162,1,,
9021014035523000,Varola skola,58.337037,13.976676,1,,
9021014035524000,Trädgårdsstaden väg 200,58.423408,13.898460,1,,
9021014035526000,Skogens förskola,58.341604,13.852237,1,,
9021014035527000,Basvägen,58.341448,13.845836,1,,
9021014035528000,Trafikplats Skultorp,58.340711,13.860824,1,,
9021014035529000,Skultorp väg 26,58.340579,13.864159,1,,
9021014035532000,Lövkullevägen,58.400700,13.877677,1,,
9021014035535000,Smedsgården,58.478996,13.722812,1,,
9021014035536000,Runneberg,58.438100,13.976245,1,,
9021014035537000,Jakobstorp,58.439282,14.008911,1,,
9021014035538000,Lindåsen,58.430358,14.025773,1,,
9021014035539000,Linoljedammen,58.418893,13.874085,1,,
9021014035540000,Malörtsvägen,58.415752,13.875418,1,,
9021014035542000,Brandstorpsvägen,58.392491,13.823675,1,,
9021014035546000,Melldala södra,58.501505,13.741866,1,,
9021014035552000,Volvobron,58.378264,13.863615,1,,
9021014035554000,Falkvägen,58.389330,13.829681,1,,
9021014035555000,Stallsiken,58.410005,13.875533,1,,
9021014035556000,Trollberget,58.492151,13.775843,1,,
9021014035557000,Östentorp,58.476071,13.898561,1,,
9021014035560000,Tingsrätten,58.387492,13.844897,1,,
9021014035561000,Lassagårdsgatan,58.410001,13.887496,1,,
9021014035563000,Käpplunda vårdcentrum,58.400295,13.840286,1,,
9021014035564000,Lerdala skola,58.476706,13.711217,1,,
9021014035565000,Sandbacken,58.433560,13.923028,1,,
9021014035566000,Stallsiken norra,58.412808,13.877703,1,,
9021014035567000,Vagnsbodsvägen,58.335530,13.814552,1,,
9021014035569000,Jonstorpsgatan,58.412957,13.884510,1,,
9021014035570000,Frostaliden,58.409838,13.850635,1,,
9021014035571000,Aspö,58.414518,13.867823,1,,
9021014035572000,Klagstorpsvägen,58.342323,13.838291,1,,
9021014035573000,Trädgårdsstadens skola,58.413469,13.890622,1,,
9021014035574000,Vilkmansgatan,58.416348,13.898492,1,,
9021014035575000,Bovieran,58.361397,13.819154,1,,
9021014035576000,Stallsiken Västra,58.407510,13.873815,1,,
9021014035577000,Ängsmarksgatan,58.419907,13.900812,1,,
9021014035578000,Stallsiken södra,58.404201,13.870310,1,,
9021014035778000,Odlingsgatan,58.419859,13.891140,1,,
9021014036010000,Tibro busstation,58.425286,14.160836,1,,
9021014036100000,Lilla Marhult,58.490586,14.373598,1,,
9021014036101000,Stora Marhult,58.479110,14.345302,1,,
9021014036102000,Björkhult,58.474558,14.329870,1,,
9021014036103000,Ottostorp,58.444673,14.186638,1,,
9021014036104000,Blombacka,58.454306,14.214604,1,,
9021014036106000,Ransbergs kyrka,58.457943,14.250581,1,,
9021014036107000,Lunnekullevägen,58.459699,14.262147,1,,
9021014036108000,Perstorps gård,58.464246,14.279981,1,,
9021014036109000,Bjurslingan,58.465289,14.284999,1,,
9021014036110000,Fagersanna,58.468398,14.298307,1,,
9021014036111000,Sågvägen,58.469620,14.303289,1,,
9021014036112000,Fagersanna väg 49,58.465557,14.296187,1,,
9021014036116000,Sälgen,58.426415,14.150844,1,,
9021014036117000,Gymnasiegatan,58.419429,14.160787,1,,
9021014036118000,Verkstadsgatan,58.416675,14.157173,1,,
9021014036119000,Ängsätragatan,58.405802,14.150912,1,,
9021014036120000,Hörnebo,58.406186,14.156003,1,,
9021014036121000,Ransbergs skola,58.458345,14.256314,1,,
9021014036123000,Bränningen,58.417505,14.117712,1,,
9021014036124000,Mickelstorp,58.417348,14.110492,1,,
9021014036125000,Katerydsvägen,58.437932,14.175968,1,,
9021014036126000,Motorstadion,58.450599,14.199095,1,,
9021014036129000,Marhult,58.485607,14.356536,1,,
9021014036130000,Smedjegatan,58.422040,14.167231,1,,
9021014036131000,Ängsplan,58.420114,14.172139,1,,
9021014036132000,Brittgården,58.418345,14.176460,1,,
9021014036134000,Katrineberg,58.412817,14.179943,1,,
9021014036139000,Norra vägen,58.429797,14.159736,1,,
9021014036140000,Gymnasiegatan södra,58.412024,14.166937,1,,
9021014036142000,Fågelviksleden södra,58.413025,14.153888,1,,
9021014036145000,Fredriks gata,58.403957,14.153181,1,,
9021014036146000,Västanå väg 49,58.425239,14.140137,1,,
9021014036154000,Tidåkra,58.420941,14.130261,1,,
9021014036155000,Ransbergsvägen,58.457026,14.227808,1,,
9021014036156000,Nybygget,58.416706,14.095821,1,,
9021014036162000,Betulavägen,58.463396,14.274170,1,,
9021014036164000,Stenbacken,58.471959,14.319118,1,,
9021014036167000,Bråbacka,58.458072,14.237382,1,,
9021014037001000,Lidköpings resecentrum,58.504478,13.164200,1,,
9021014037003000,Nya stadens torg,58.503855,13.159015,1,,
9021014037004000,Torggatan,58.505612,13.158133,1,,
9021014037010000,Lidköpings resec (tåg),58.504548,13.164711,1,,
9021014037100000,Spiken,58.690086,13.200776,1,,
9021014037101000,Spiken södra,58.683731,13.198568,1,,
9021014037102000,Nolgården,58.673409,13.193409,1,,
9021014037103000,Ekebo,58.664130,13.185750,1,,
9021014037104000,Ekeboliden,58.661798,13.178423,1,,
9021014037105000,Läckö slott,58.673652,13.213420,1,,
9021014037107000,Siggesten,58.662697,13.194359,1,,
9021014037108000,Källedal,58.658101,13.172979,1,,
9021014037109000,Otterstad,58.654208,13.163943,1,,
9021014037113000,Granvik,58.676615,13.153451,1,,
9021014037114000,Källsbäck,58.680807,13.155075,1,,
9021014037115000,Trelle,58.685351,13.150004,1,,
9021014037116000,Sjövik,58.687696,13.140062,1,,
9021014037117000,Nore,58.687093,13.133780,1,,
9021014037118000,Naven,58.679643,13.126778,1,,
9021014037119000,Lillesjö,58.676647,13.120246,1,,
9021014037122000,Sunnerstagården,58.651516,13.131698,1,,
9021014037124000,Korsvägen,58.640896,13.145206,1,,
9021014037127000,Ulleredsbro,58.626501,13.134997,1,,
9021014037128000,Ullerängen,58.621669,13.127058,1,,
9021014037129000,Sjöskogen,58.618179,13.124920,1,,
9021014037130000,Klastorp,58.612352,13.121427,1,,
9021014037131000,Torsängen,58.623793,13.143409,1,,
9021014037133000,Djurgården,58.618993,13.152618,1,,
9021014037134000,Öboängen,58.614123,13.158780,1,,
9021014037135000,Loneberg,58.608236,13.154803,1,,
9021014037136000,Hildeberg,58.601644,13.147440,1,,
9021014037137000,Jönslunda,58.597099,13.146252,1,,
9021014037140000,Filsbäck,58.492248,13.249443,1,,
9021014037141000,Klovet,58.491723,13.233478,1,,
9021014037145000,Sävare norra,58.461926,13.254516,1,,
9021014037146000,Sävare kyrka,58.458063,13.257141,1,,
9021014037148000,Blåbärsvägen,58.449573,13.255710,1,,
9021014037150000,Vinninga väg 49,58.448037,13.245248,1,,
9021014037151000,Fogdängen,58.457216,13.233289,1,,
9021014037152000,Bärnagården,58.439379,13.268464,1,,
9021014037153000,Hålvägen,58.434142,13.284497,1,,
9021014037154000,Ardalavägen,58.431478,13.292249,1,,
9021014037155000,Linjan,58.429938,13.306179,1,,
9021014037156000,Helledal,58.427460,13.326763,1,,
9021014037157000,Violvägen,58.452785,13.268696,1,,
9021014037158000,Prästkragsvägen,58.456176,13.263062,1,,
9021014037160000,Sågen,58.592739,13.146052,1,,
9021014037161000,Solbacken,58.589720,13.142874,1,,
9021014037162000,Sunnervalla,58.578196,13.128744,1,,
9021014037163000,Önnersgården,58.575775,13.126603,1,,
9021014037164000,Riddaregården,58.585831,13.118840,1,,
9021014037165000,Kyrkhagen,58.578375,13.120685,1,,
9021014037166000,Tolsjö,58.561064,13.117659,1,,
9021014037167000,Tolsjöhemmet,58.558116,13.115702,1,,
9021014037168000,Finneboden,58.548044,13.114404,1,,
9021014037169000,Söne,58.532529,12.969979,1,,
9021014037170000,Skalunda kyrka,58.550132,13.008646,1,,
9021014037171000,Rackeby bygdegård,58.562556,13.019700,1,,
9021014037172000,Rackeby,58.571502,13.034226,1,,
9021014037173000,Gösslunda,58.549469,13.080162,1,,
9021014037174000,Gösslunda skola,58.541904,13.098840,1,,
9021014037175000,Ledet,58.477965,12.840405,1,,
9021014037176000,Lindhem,58.478862,12.853214,1,,
9021014037177000,Kedumstorp,58.480152,12.864834,1,,
9021014037178000,Kambo,58.480675,12.876844,1,,
9021014037179000,Ekekullen,58.466027,12.831484,1,,
9021014037180000,Tådene,58.460249,12.849549,1,,
9021014037181000,Tranum,58.457415,12.857368,1,,
9021014037182000,Rättaregården,58.459229,12.874623,1,,
9021014037183000,Gunnarsgården,58.463274,12.881254,1,,
9021014037184000,Aggetorp,58.470531,12.892015,1,,
9021014037185000,Norra Kedum,58.481963,12.899959,1,,
9021014037186000,Marbogården,58.488711,12.911549,1,,
9021014037187000,Storegården,58.493917,12.920678,1,,
9021014037188000,Källstorp,58.503525,12.938767,1,,
9021014037189000,Granhagen,58.502711,12.951276,1,,
9021014037190000,Halvfara,58.502747,12.963701,1,,
9021014037191000,Hästhagen,58.503047,12.981002,1,,
9021014037192000,Skattegården,58.505196,12.991435,1,,
9021014037193000,Örslösa,58.507558,13.004655,1,,
9021014037195000,Månslunda,58.510302,13.022302,1,,
9021014037196000,Höberga,58.510464,13.034585,1,,
9021014037197000,Karlberg,58.511922,13.048924,1,,
9021014037198000,Björnegården,58.515925,13.066456,1,,
9021014037199000,Härebacka,58.518637,13.077159,1,,
9021014037200000,Närebo,58.521578,13.099700,1,,
9021014037201000,Tubbetorpsvägen,58.541729,12.994603,1,,
9021014037202000,Råda kyrka,58.496715,13.090850,1,,
9021014037203000,Kockgården,58.473810,13.138738,1,,
9021014037204000,Mjölnaregården,58.468022,13.143571,1,,
9021014037205000,Flygplatsen,58.461516,13.153377,1,,
9021014037206000,Stommen,58.455502,13.156812,1,,
9021014037208000,Norra Härene,58.438266,13.162099,1,,
9021014037209000,Lovenevägen,58.432342,13.158708,1,,
9021014037210000,Torpa,58.426665,13.161213,1,,
9021014037211000,Flöje,58.420714,13.159109,1,,
9021014037212000,Kättorp,58.411514,13.162756,1,,
9021014037213000,Resville,58.400622,13.160636,1,,
9021014037214000,Sällagården,58.393926,13.154791,1,,
9021014037215000,Kristinedal,58.390548,13.152265,1,,
9021014037216000,Fornbyn,58.385897,13.149343,1,,
9021014037217000,Saleby,58.380587,13.147432,1,,
9021014037218000,Saleby affär,58.373501,13.147564,1,,
9021014037229000,Axtorp,58.469043,13.087722,1,,
9021014037230000,Bostorp,58.459663,13.083397,1,,
9021014037231000,Kampegården,58.453755,13.078816,1,,
9021014037232000,Tomten Lovene,58.439675,13.063119,1,,
9021014037233000,Lovene gård,58.437245,13.056931,1,,
9021014037234000,Lovene station,58.440878,13.047668,1,,
9021014037235000,Slätten,58.418167,13.032419,1,,
9021014037236000,Domö,58.398504,13.015734,1,,
9021014037237000,Bryne,58.390322,12.997956,1,,
9021014037238000,Torstensgården,58.384536,12.989919,1,,
9021014037239000,Parkgatan,58.379997,12.976101,1,,
9021014037241000,Badsjön,58.374812,12.970891,1,,
9021014037242000,Ambjörnsgården,58.369546,12.966833,1,,
9021014037243000,Björksäter,58.480102,13.091323,1,,
9021014037244000,Siggetorp,58.474222,13.069999,1,,
9021014037245000,Mellby Fyrkanten,58.463852,13.040805,1,,
9021014037246000,Roslätt,58.458222,13.032153,1,,
9021014037247000,Mellby kyrka,58.453861,13.023724,1,,
9021014037248000,Mellby,58.450214,13.017930,1,,
9021014037249000,Katrineberg,58.447964,13.007809,1,,
9021014037250000,Bromaden,58.448784,12.986152,1,,
9021014037251000,Gillstad östra,58.444074,12.965533,1,,
9021014037252000,Gillstad,58.440978,12.958344,1,,
9021014037254000,Västergården,58.438671,12.937165,1,,
9021014037255000,Nyhagen,58.434050,12.905932,1,,
9021014037256000,Lavad kyrka,58.425034,12.880487,1,,
9021014037257000,Lavad skola väg 44,58.419364,12.867985,1,,
